ModeTag,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
hardQPS_Q3500,modifiers_01,Skopt-GP,0,2,2,"[[128, 128, 128, 128], [64, 64, 64, 64], [128, 128, 128, 128]]",0.02108742701508485,41192.802209564965,0.553261669164665
hardQPS_Q3500,modifiers_01,Skopt-GP,0,3,3,"[[2048, 2048, 2048], [128, 128, 128, 128], [1024, 1024]]",0.10804217604077193,3544.4819533210302,0.5041165964427443
hardQPS_Q3500,modifiers_01,Skopt-GP,0,4,4,"[[128, 128, 128, 128], [256, 256, 256, 256], [128, 128, 128]]",0.018857552498288653,37084.07286699907,0.5545219493278144
hardQPS_Q3500,modifiers_01,Skopt-GP,0,5,5,"[[256, 256], [512, 512]]",-0.008358272130965164,33448.263666786384,0.569903785231873
hardQPS_Q3500,modifiers_01,Skopt-GP,0,6,6,"[[64, 64], [512, 512], [2048, 2048, 2048, 2048], [512, 512, 512]]",0.12771644286883965,1673.800362497493,0.49299709710717343
hardQPS_Q3500,modifiers_01,Skopt-GP,0,7,7,"[[512, 512, 512], [256, 256, 256], [1024, 1024, 1024], [2048, 2048, 2048], [512, 512]]",0.13581181218433774,2334.9052543284415,0.48842175742557153
hardQPS_Q3500,modifiers_01,Skopt-GP,0,8,8,"[[64, 64, 64]]",-0.008338156071697756,49542.08902757072,0.5698924160403492
hardQPS_Q3500,modifiers_01,Skopt-GP,0,9,9,"[[512, 512, 512], [1024, 1024, 1024, 1024]]",0.034444881579716424,11793.348514229187,0.5457123048882567
hardQPS_Q3500,modifiers_01,Skopt-GP,0,10,10,"[[128, 128]]",-0.016655293417182995,47369.64396520755,0.5745930945456869
hardQPS_Q3500,modifiers_01,Skopt-GP,0,11,11,"[[2048, 2048, 2048], [64, 64, 64, 64, 64], [2048], [64], [128, 128]]",0.12846627671549865,4139.837863555127,0.4925733061200644
hardQPS_Q3500,modifiers_01,Skopt-RF,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26435.85019656983,0.5651798581743118
hardQPS_Q3500,modifiers_01,Skopt-RF,0,2,2,"[[2048, 2048, 2048, 2048]]",0.11354232823973595,3098.2424264863726,0.5010080212029967
hardQPS_Q3500,modifiers_01,Skopt-RF,0,3,3,"[[2048, 2048, 2048], [64, 64], [128], [1024, 1024], [512, 512]]",0.1300891086538715,3556.264662305906,0.4916561141952941
hardQPS_Q3500,modifiers_01,Skopt-RF,0,4,4,"[[128, 128, 128, 128]]",0.0026498047475958723,45778.5167027435,0.563682241902876
hardQPS_Q3500,modifiers_01,Skopt-RF,0,5,5,"[[1024, 1024]]",0.006166179499052343,18356.742461794824,0.5616948577195601
hardQPS_Q3500,modifiers_01,Skopt-RF,0,6,6,"[[128], [1024], [128, 128, 128, 128, 128]]",-0.003047272020148868,33721.45412608893,0.5669021149424781
hardQPS_Q3500,modifiers_01,Skopt-RF,0,7,7,"[[512, 512]]",-0.008054972915915495,32214.75966610524,0.5697323666245269
hardQPS_Q3500,modifiers_01,Skopt-RF,0,8,8,"[[1024, 1024], [1024, 1024, 1024], [512, 512, 512, 512, 512], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.13929438059652074,2892.647313663576,0.4864534799042916
hardQPS_Q3500,modifiers_01,Skopt-RF,0,9,9,"[[128], [2048, 2048, 2048, 2048, 2048], [128, 128, 128, 128], [512, 512, 512], [64]]",0.129039065576634,4134.900500778681,0.4922495773927641
hardQPS_Q3500,modifiers_01,Skopt-RF,0,10,10,"[[2048, 2048]]",0.04405097031737031,7337.246109706405,0.5402831370178997
hardQPS_Q3500,modifiers_01,Skopt-RF,0,11,11,"[[1024, 1024, 1024], [2048, 2048, 2048], [128, 128, 128], [512, 512, 512], [64]]",0.1289894347077574,4277.768295201641,0.49227762776019685
hardQPS_Q3500,modifiers_01,Skopt-ET,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26435.85019656983,0.5651798581743118
hardQPS_Q3500,modifiers_01,Skopt-ET,0,2,2,"[[2048, 2048, 2048, 2048]]",0.11354232823973595,3098.2424264863726,0.5010080212029967
hardQPS_Q3500,modifiers_01,Skopt-ET,0,3,3,"[[2048, 2048, 2048], [64, 64], [128], [1024, 1024], [512, 512]]",0.1300891086538715,3556.264662305906,0.4916561141952941
hardQPS_Q3500,modifiers_01,Skopt-ET,0,4,4,"[[128, 128, 128, 128]]",0.0026498047475958723,45778.5167027435,0.563682241902876
hardQPS_Q3500,modifiers_01,Skopt-ET,0,5,5,"[[1024, 1024]]",0.006166179499052343,18356.742461794824,0.5616948577195601
hardQPS_Q3500,modifiers_01,Skopt-ET,0,6,6,"[[128], [1024], [128, 128, 128, 128, 128]]",-0.003047272020148868,33721.45412608893,0.5669021149424781
hardQPS_Q3500,modifiers_01,Skopt-ET,0,7,7,"[[512, 512]]",-0.008054972915915495,32214.75966610524,0.5697323666245269
hardQPS_Q3500,modifiers_01,Skopt-ET,0,8,8,"[[1024, 1024], [1024, 1024, 1024], [512, 512, 512, 512, 512], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.13929438059652074,2892.647313663576,0.4864534799042916
